TDAVGW v1.17n, TDIP data processed on 2021/05/18: Majuba
LINE:1N ARRAY:DPDP DIPOLE:300 UNITS:m T=59.412,148.438,148.438,148.438,148.438,148.438,148.438,148.438,148.438,148.438,148.438,148.438,148.438,148.438
T1X T2X R1X R2X T1Y T2Y R1Y R2Y PltX PltY Z N Line Vp I TxFreq Sp ARes ARerr IPm IPerr MF QC IP0 IP1 IP2 IP3 IP4 IP5 IP6 IP7 IP8 IP9 IP10 IP11 IP12 PltEast PltNorth PltElev TxEast1 TxNorth1 TxElev1 TxEast2 TxNorth2 TxElev2 RxEast1 RxNorth1 RxElev1 RxEast2 RxNorth2 RxElev2 
2100 2400 3900 4200 1 1 1 1 3150 1 -900 5 1 12.586 4.1 0.125 10.44 607.56 0.02 16.64 0.34 27.39 1 423.8 26.66 20.04 16.2 13.7 11.7 10.68 9.367 8.277 7.922 7.461 6.722 5.784 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
1800 2100 4200 4500 1 1 1 1 3150 1 -1200 7 1 6.9572 5.7 0.125 14.373 579.78 0.01 19.13 0.52 32.99 1 450.3 39.47 23.88 18.4 15.75 13.15 12.02 11.08 9.922 8.7 7.967 6.833 6.867 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
1500 1800 4500 4800 1 1 1 1 3150 1 -1500 9 1 6.3343 11.6 0.125 8.613 509.5 0.02 17.54 0.34 34.43 1 447.3 35.1 22.35 17.44 14.7 12.12 10.96 10.2 8.678 7.3 7.378 6.9 6.6 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
2700 3000 3600 3900 1 1 1 1 3300 1 -450 2 1 93.785 7 0.125 11.317 303.05 0.01 15.2 0.01 50.14 1 419.5 25.56 18.36 14.8 12.53 10.83 9.667 8.1 8 7.261 6.539 6.1 5.943 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
2400 2700 3900 4200 1 1 1 1 3300 1 -750 4 1 22.501 5.5 0.125 10.123 462.69 0.01 16.1 0.01 34.8 1 420.7 25.33 19.14 15.7 13.33 11.7 10.37 9.3 8.7 7.9 7.2 6.533 5.967 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
2100 2400 4200 4500 1 1 1 1 3300 1 -1050 6 1 7.1464 4.1 0.125 15.337 551.97 0.02 20.13 0.75 36.46 1 446.9 40.1 24.53 19.89 16.4 14.57 12.71 10.87 9.5 9.033 8.867 7.533 6.867 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
1800 2100 4500 4800 1 1 1 1 3300 1 -1350 8 1 4.1036 5.7 0.125 7.407 488.53 0.08 16.96 0.13 34.72 1 442.1 32.93 22.93 17.63 14.75 12.63 11.13 10.23 8.806 8 7.633 6.833 6.367 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
3000 3300 3600 3900 1 1 1 1 3450 1 -300 1 1 590.3 9.3 0.125 11.407 358.93 0.01 6.94 0.01 19.35 1 404.9 12.8 8.9 6.7 5.7 4.9 4.3 3.9 3.5 3.2 3 2.7 2.5 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
2700 3000 3900 4200 1 1 1 1 3450 1 -600 3 1 45.131 7.1 0.125 10.26 359.45 0.01 20.63 0.09 57.39 1 425.1 32.3 24.57 20.04 17.06 14.9 13.4 12 10.9 9.9 9.267 8.563 7.961 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
2400 2700 4200 4500 1 1 1 1 3450 1 -900 5 1 11.878 5.5 0.125 14.373 427.42 0.03 19.42 0.01 45.44 1 442.7 37.47 23.45 18.53 15.98 13.97 12.5 10.9 10 8.7 8.7 7.839 6.9 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
2100 2400 4500 4800 1 1 1 1 3450 1 -1200 7 1 4.1007 4.1 0.125 8.8 475.09 0.01 17.75 1.14 37.36 1 438.2 34.7 23.23 18.43 14.43 13.53 11 9.912 8.533 9.95 8.967 8.2 7.372 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
3000 3300 3900 4200 1 1 1 1 3600 1 -450 2 1 225.7 9.2 0.125 10.021 554.91 0.01 13.48 0.01 24.3 1 411.5 20.6 16.2 12.97 11.27 9.7 8.8 7.9 7.1 6.6 6 5.4 5.2 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
2700 3000 4200 4500 0 0 0 0 3600 0 -750 4 1 12.988 4.429 0.125 0 329.81 0.01 22.09 0.16 66.98 1 43.14 30.25 24.43 21.17 18.05 16.42 15.27 12.78 11.92 11.08 10.78 9.784 9.441 376441.7 4501840.1 1718.75 375753.9 4502418.9 1768.6 375984.3 4502225.2 1710.4 376899.5 4501453.7 1675.3 377129.1 4501262.6 1720.7 
2700 3000 4200 4500 1 1 1 1 3600 1 -750 4 1 21.321 7.1 0.125 14.51 339.62 0.01 24.49 0.27 72.1 1 448.7 46.1 29.63 23.77 20.03 17.9 15.9 14.2 13.07 12.14 11.27 10.2 9.467 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
2400 2700 4500 4800 1 1 1 1 3600 1 -1050 6 1 6.5457 5.5 0.125 8.017 376.88 0.03 18.39 0.29 48.81 1 434.5 32.46 22.25 17.64 15.54 13.33 11.78 10.33 10 8.767 8.8 7.622 6.733 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
3300 3600 3900 4200 1 1 1 1 3750 1 -300 1 1 557.8 8.9 0.125 9.48 354.41 0.01 9.96 0.01 28.11 1 404.8 15 12 9.6 8.1 7.2 6.4 5.8 5.167 4.8 4.333 4.1 3.8 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
3000 3300 4200 4500 0 0 0 0 3750 0 -600 3 1 79.301 8.133 0.125 0 555.89 0.01 16.9 0.01 30.4 1 32.64 23.57 19.13 16.31 14.1 12.5 11.23 10.23 9.319 8.654 8.123 7.535 7.106 376556.625 4501744.35 1696.35 375984.3 4502225.2 1710.4 376213.6 4502035.9 1679 376899.5 4501453.7 1675.3 377129.1 4501262.6 1720.7 
3000 3300 4200 4500 1 1 1 1 3750 1 -600 3 1 87.953 9.2 0.125 14.49 540.61 0.01 18.89 0.07 34.93 1 437.1 35.3 22.62 18.37 15.28 13.43 12.3 11.13 9.7 9.233 8.433 7.9 7.2 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
2700 3000 4500 4800 0 0 0 0 3750 0 -900 5 1 6.5585 4.429 0.125 0 287.49 0.02 21.44 0.21 74.58 1 42.58 29.09 23.55 20.73 17.23 15.96 15.01 11.98 11.34 10.32 10.53 9.369 9.18 376557.225 4501743.5 1755.05 375753.9 4502418.9 1768.6 375984.3 4502225.2 1710.4 377129.1 4501262.6 1720.7 377361.6 4501067.3 1820.5 
2700 3000 4500 4800 1 1 1 1 3750 1 -900 5 1 11.016 7.1 0.125 8.567 307.07 0.01 23.65 0.01 77.01 1 440.9 41.36 29.3 23.1 19.87 17 15.13 13.4 12.33 11.16 10.24 9.237 8.9 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
